Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
21500,0.54,Very Good,F,VS2,63.0,56.8,5.18,5.22,3.28,1745
23737,1.02,Ideal,F,VVS2,61.9,57.0,6.53,6.42,4.01,9212
10067,0.52,Very Good,G,VS2,63.0,56.0,5.09,5.13,3.22,1369
9704,0.39,Very Good,E,VS2,60.0,56.0,4.76,4.81,2.87,808
12282,0.3,Premium,G,VS2,61.1,62.0,4.33,4.28,2.63,630
16752,1.1,Ideal,G,VS1,61.5,57.0,6.65,6.62,4.08,7111
17539,2.15,Premium,J,SI1,62.4,60.0,8.24,8.18,5.12,13746
6548,1.01,Very Good,G,VS1,63.1,59.0,6.32,6.23,3.96,5294
12281,0.7,Ideal,F,SI1,61.8,54.0,5.71,5.75,3.54,2635
6715,0.41,Good,F,VS1,64.4,57.0,4.67,4.71,3.02,827
7175,2.01,Ideal,J,SI2,62.9,54.0,8.03,8.07,5.06,12565
26948,1.18,Premium,I,SI1,61.8,58.0,6.78,6.74,4.18,5617
14760,0.5,Very Good,G,VS2,60.3,58.0,5.15,5.19,3.12,1354
9893,0.47,Ideal,I,VS2,62.1,54.0,4.99,5.03,3.11,884
10936,0.53,Premium,H,VS1,60.5,57.0,5.34,5.27,3.21,1607
5913,1.03,Premium,F,VVS1,59.7,60.0,6.63,6.57,3.94,10546
21363,1.11,Premium,F,VVS2,59.2,59.0,6.79,6.82,4.03,9377
14566,0.55,Very Good,F,VS2,61.6,56.1,5.29,5.31,3.27,1777
19141,1.08,Ideal,F,I1,61.8,56.0,6.64,6.62,4.1,3168
2364,0.77,Fair,I,VS1,65.1,57.0,5.65,5.77,3.72,2184
20627,1.21,Very Good,H,VS1,60.4,59.0,6.88,6.97,4.18,7196
23176,1.53,Premium,G,SI1,58.4,59.0,7.62,7.55,4.43,9476
16656,1.15,Premium,G,SI2,62.5,55.0,6.72,6.68,4.19,4861
14097,1.22,Premium,G,SI2,60.5,58.0,6.96,6.92,4.2,5739
26774,0.4,Ideal,E,VVS2,62.6,54.0,4.71,4.74,2.96,1106
14210,0.35,Ideal,F,SI1,61.5,55.9,4.53,4.56,2.8,596
5129,0.38,Ideal,E,SI1,61.4,57.0,4.64,4.67,2.86,653
3758,0.4,Very Good,G,SI1,61.9,55.0,4.71,4.75,2.93,682
19475,1.5,Good,H,VS2,63.9,60.0,7.17,7.22,4.6,10692
21697,0.51,Good,D,VS2,63.7,57.0,5.05,5.0,3.2,1665
19584,1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,8938
7516,0.38,Ideal,E,VVS1,61.9,53.7,4.66,4.67,2.89,1245
11257,1.7,Premium,D,SI1,61.9,59.0,7.61,7.64,4.72,15100
24265,0.32,Premium,D,SI1,60.2,58.0,4.43,4.4,2.66,756
26895,0.54,Ideal,G,VVS1,61.3,56.0,5.23,5.28,3.22,1982
22370,0.72,Very Good,H,SI1,61.5,56.0,5.77,5.8,3.56,2277
17027,0.9,Ideal,G,SI2,62.4,57.0,6.16,6.13,3.84,2968
26599,0.51,Premium,E,VS1,62.3,56.0,5.14,5.13,3.2,1837
9698,0.71,Premium,G,SI2,62.3,55.0,5.72,5.68,3.55,1977
15046,0.35,Premium,G,VS1,62.9,58.0,4.49,4.48,2.82,906
26616,0.25,Very Good,F,VVS1,60.7,59.0,4.07,4.1,2.48,576
7665,0.57,Very Good,F,VVS2,62.6,58.0,5.32,5.38,3.34,1902
26162,1.24,Premium,D,VS2,59.3,58.0,7.09,7.03,4.19,9916
14773,0.36,Premium,E,VS2,59.3,59.0,4.68,4.6,2.75,1013
21081,0.8,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69,2856
7174,0.74,Very Good,E,VVS1,63.5,58.0,5.78,5.72,3.65,3993
1045,0.72,Ideal,H,SI2,61.5,56.0,5.8,5.75,3.55,2131
5322,1.2,Premium,F,SI2,62.7,60.0,6.73,6.67,4.21,4274
21892,1.83,Fair,J,I1,70.0,58.0,7.34,7.28,5.12,5083
6752,0.26,Very Good,F,SI1,61.4,56.0,4.13,4.16,2.54,401
22512,0.58,Ideal,G,VS2,60.0,56.0,5.45,5.48,3.28,1761
11834,0.31,Ideal,G,IF,61.2,55.0,4.4,4.42,2.7,891
6954,0.4,Ideal,H,VVS2,62.4,57.0,4.73,4.69,2.94,1125
13817,0.31,Very Good,D,SI1,63.0,54.0,4.32,4.35,2.73,571
13150,0.58,Premium,E,VS2,61.5,58.0,5.41,5.38,3.32,2535
7978,1.56,Premium,F,SI1,60.7,59.0,7.55,7.45,4.55,11901
11096,0.32,Ideal,G,VVS2,61.8,55.0,4.43,4.41,2.73,936
14946,0.56,Ideal,E,VS1,61.2,56.0,5.3,5.34,3.26,2085
13843,0.5,Good,E,SI1,63.2,57.0,5.03,5.06,3.19,1316
14500,0.91,Fair,D,VS2,65.7,58.0,6.04,5.99,3.95,4107
1861,1.13,Fair,I,VS2,55.9,67.0,7.05,6.94,3.9,4695
10306,1.2,Very Good,I,SI1,62.6,57.0,6.74,6.77,4.23,5476
5799,1.04,Premium,I,SI2,62.0,57.0,6.53,6.47,4.03,3774
13361,0.9,Very Good,H,VS2,63.7,61.0,6.04,6.07,3.86,4129
21131,0.25,Very Good,F,VVS2,59.4,57.0,4.1,4.12,2.44,575
21573,2.0,Good,I,VS2,63.3,56.0,7.98,8.03,5.07,16544
4813,0.33,Premium,H,VS2,61.4,58.0,4.49,4.44,2.74,668
15917,0.41,Premium,F,VVS2,62.4,58.0,4.76,4.7,2.95,1192
4438,0.37,Ideal,E,VS1,61.3,55.0,4.68,4.65,2.86,999
7257,0.3,Very Good,I,VS1,62.0,58.0,4.25,4.3,2.65,473
17838,1.07,Very Good,H,VS1,62.5,56.0,6.52,6.6,4.1,5661
2432,0.34,Ideal,D,VVS2,60.1,57.0,4.54,4.58,2.74,918
1192,1.01,Very Good,G,IF,60.0,61.0,6.41,6.45,3.86,7974
20503,1.03,Premium,J,SI1,61.7,54.0,6.56,6.5,4.03,4153
23995,0.35,Ideal,G,SI1,60.6,56.0,4.56,4.58,2.77,555
